No,분류,분류,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월
No,분류,분류,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,서울,서울,183.2,181.1,183.8,184.9,182.5,182.8,175.4,170.1,165.9,158.0,149.4,143.6,145.5,148.3,150.4,152.7,154.6,157.3,158.9,161.0,162.4,162.3,160.0,158.0,158.4,159.3,159.4,160.5,161.7,164.3,167.9,170.6,171.0,171.0,171.2,170.5,170.9
2,서울,도심권,178.4,180.1,176.9,177.7,175.7,182.5,174.3,171.4,163.0,161.5,163.4,162.4,157.1,156.0,155.8,158.9,161.6,162.4,165.5,163.7,163.9,166.7,169.1,164.2,164.5,165.3,166.8,166.9,169.6,171.0,174.3,178.2,178.7,178.2,177.4,176.8,177.5
3,서울,동북권,192.5,188.8,194.5,196.1,190.9,192.9,183.5,176.0,173.0,163.6,153.6,148.2,151.5,153.7,155.1,156.9,157.8,160.5,162.1,164.0,165.4,165.0,161.5,159.8,161.3,161.5,161.8,162.8,163.7,165.5,168.9,171.2,170.7,170.8,170.9,169.3,169.7
4,서울,동남권,180.3,175.9,177.9,178.3,177.6,179.3,171.9,165.7,164.7,153.9,143.8,138.2,140.7,144.4,148.7,151.9,154.5,157.4,159.9,162.3,164.6,163.8,162.0,159.2,158.5,160.0,159.9,161.0,163.1,166.4,171.3,174.9,176.9,177.1,177.9,177.8,178.5
5,서울,서북권,174.7,174.5,174.5,176.7,177.0,173.1,165.7,162.3,158.9,152.0,145.8,138.1,140.2,143.9,145.5,146.6,150.0,153.0,153.4,156.1,157.6,157.3,155.8,154.1,155.0,155.5,155.9,156.8,157.8,160.4,163.5,166.6,165.7,166.0,166.0,165.2,165.9
6,서울,서남권,180.6,180.5,182.7,183.6,181.6,179.6,175.8,171.1,164.7,158.2,151.1,144.2,145.2,147.8,149.0,151.3,153.1,155.5,156.8,159.1,160.1,160.4,157.9,156.8,156.7,157.8,157.8,159.1,159.8,162.4,165.5,167.5,168.1,167.5,167.6,167.3,167.0
